tau,agent,estimate
0.023101297000831605,A2,0.6980633790262742
0.023101297000831605,A2,0.6980633790262746
0.023101297000831605,A2,0.6953852490325246
0.023101297000831605,A3,0.35051146683858075
0.023101297000831605,A3,0.3508797626462629
0.023101297000831605,A3,0.35034122998989237
0.023101297000831605,A3,0.35036367821421815
0.023101297000831605,A3,0.35050734605364414
0.023101297000831605,A3,0.3507016503628367
0.023101297000831605,A3,0.35005602972466376
0.023101297000831605,A3,0.3502158895898557
0.023101297000831605,A3,0.3500377773064295
0.023101297000831605,A3,0.3505762349416449
0.023101297000831605,A3,0.35041019389904793
0.023101297000831605,A3,0.35010254540949354
0.023101297000831605,A3,0.3502540886836573
0.023101297000831605,A3,0.3502482736413877
0.023101297000831605,A3,0.3507360948068369
0.023101297000831605,A3,0.35065307428553844
0.023101297000831605,A3,0.3503130417444519
0.023101297000831605,A3,0.3504911540278783
0.023101297000831605,A3,0.3502644656671536
0.023101297000831605,A3,0.35008841377619576
0.023101297000831605,A3,0.3503151021369201
0.023101297000831605,A3,0.35007803679269944
0.023101297000831605,A3,0.35031716252938844
0.023101297000831605,A3,0.3503333545551545
0.023101297000831605,A3,0.3504504533853179
0.023101297000831605,A3,0.35054179049764445
0.023101297000831605,A3,0.35013492946102565
0.023101297000831605,A3,0.35042012972625436
0.023101297000831605,A3,0.3504911540278781
0.023101297000831605,A3,0.35053973010517625
0.023101297000831605,A3,0.35020175795655806
0.023101297000831605,A3,0.35063894265224077
0.023101297000831605,A3,0.3503292337702178
0.023101297000831605,A3,0.35029684971868574
0.023101297000831605,A3,0.3504160089413175
0.023101297000831605,A3,0.35039606226575015
0.023101297000831605,A3,0.3502217046321254
0.023101297000831605,A3,0.3505255984718785
0.023101297000831605,A3,0.3506103132505099
0.023101297000831605,A3,0.3504770223945804
0.023101297000831605,A4,0.3024532579177997
0.023101297000831605,A4,0.30214218895583195
0.023101297000831605,A4,0.30261454055263853
0.023101297000831605,A4,0.30262483270183294
0.023101297000831605,A4,0.30254356912756847
0.023101297000831605,A4,0.3023009921865128
0.023101297000831605,A4,0.3029807538232511
0.023101297000831605,A4,0.3027384803276293
0.023101297000831605,A4,0.3029938288220377
0.023101297000831605,A4,0.30235952623561735
0.023101297000831605,A4,0.3026021031766735
0.023101297000831605,A4,0.3029000971398551
0.023101297000831605,A4,0.3027961040404314
0.023101297000831605,A4,0.30280264153982495
0.023101297000831605,A4,0.3022620706355873
0.023101297000831605,A4,0.3023978408956747
0.023101297000831605,A4,0.30271856438401545
0.023101297000831605,A4,0.30255151717984136
0.023101297000831605,A4,0.30276714046131287
0.023101297000831605,A4,0.3029483697717194
0.023101297000831605,A4,0.30264444520001244
0.023101297000831605,A4,0.30289634249005415
0.023101297000831605,A4,0.30270548938522873
0.023101297000831605,A4,0.3026506792539718
0.023101297000831605,A4,0.3025915075820449
0.023101297000831605,A4,0.30247568399752506
0.023101297000831605,A4,0.30288702214106894
0.023101297000831605,A4,0.30253421804663005
0.023101297000831605,A4,0.30254045210058916
0.023101297000831605,A4,0.30246291244417284
0.023101297000831605,A4,0.30282537106498425
0.023101297000831605,A4,0.3023978408956747
0.023101297000831605,A4,0.3027023723582491
0.023101297000831605,A4,0.30272510188340834
0.023101297000831605,A4,0.3026245292563987
0.023101297000831605,A4,0.30262141222941896
0.023101297000831605,A4,0.3028188335655909
0.023101297000831605,A4,0.30243394886505437
0.023101297000831605,A4,0.3023781976655411
0.023101297000831605,A4,0.30253079757421664
0.023101297000831605,A5,0.2383487032932118
0.023101297000831605,A5,0.23830256970776958
0.023101297000831605,A5,0.2383465642467901
0.023101297000831605,A5,0.23833601039381283
0.023101297000831605,A5,0.2382625128683797
0.023101297000831605,A5,0.2382996922399721
0.023101297000831605,A5,0.23829883102222052
0.023101297000831605,A5,0.23837015139237905
0.023101297000831605,A5,0.2382984618115326
0.023101297000831605,A5,0.23835548035178716
0.023101297000831605,A5,0.23827339782319193
0.023101297000831605,A5,0.23828859897970056
0.023101297000831605,A5,0.23827987521591065
0.023101297000831605,A5,0.23825696623824397
0.023101297000831605,A5,0.23833190249757583
0.023101297000831605,A5,0.23825696623824397
0.023101297000831605,A5,0.23825963540058223
0.023101297000831605,A5,0.2382625128683797
0.023101297000831605,A5,0.23824299551017494
0.023101297000831605,A5,0.23826555124140592
0.023101297000831605,A5,0.23837052060306696
0.023101297000831605,A5,0.2383501420271105
